sku_id,description,analysis_weeks,positive_demand_weeks,zero_demand_week_pct,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,average_demand_interval_weeks,lag_1_autocorrelation,first_13_week_average,last_13_week_average,trend_slope_units_per_week,recent_vs_initial_13_week_change_pct
16046,TEATIME PEN CASE & PENS,104,41,60.58,95.96,635.24,6.620,2.54,-0.023,24.77,0.31,-1.469,-98.76
16047,POP ART PEN CASE & PENS,104,21,79.81,102.03,715.13,7.009,4.95,-0.015,4.46,0.00,-1.493,-100.00
16048,TEATIME ROUND PENCIL SHARPENER,104,57,45.19,33.27,96.44,2.899,1.82,-0.078,61.62,37.08,-0.060,-39.83
16049,UNKNOWN,104,19,81.73,27.03,97.38,3.603,5.47,-0.060,120.00,0.00,-0.779,-100.00
16050,TEATIME PENCIL WITH RUBBER,104,7,93.27,1.45,7.40,5.095,14.86,0.466,5.31,0.00,-0.062,-100.00
16051,UNKNOWN,104,4,96.15,9.39,85.18,9.067,26.00,-0.012,69.62,0.00,-0.461,-100.00
16052,TEATIME PUSH DOWN RUBBER,104,28,73.08,14.69,75.84,5.162,3.71,-0.015,6.08,0.00,-0.169,-100.00
16053,POPART COL BALLPOINT PEN ASST,104,10,90.38,41.47,275.82,6.651,10.40,-0.023,8.08,0.00,-0.640,-100.00
16054,POPART RECT PENCIL SHARPENER ASST,104,26,75.00,11.63,28.24,2.428,4.00,0.479,0.23,56.15,0.500,24233.33
16119,FUNKY GIRL ADDRESS BOOK,104,3,97.12,2.62,19.41,7.396,34.67,0.427,21.00,0.00,-0.146,-100.00
16151A,FLOWERS HANDBAG blue and orange,104,5,95.19,0.98,6.44,6.571,20.80,0.018,0.00,0.00,0.007,
16156L,WRAP CAROUSEL,104,33,68.27,9.13,14.80,1.621,3.15,-0.046,13.46,7.69,-0.009,-42.86
16156N,"WRAP, FRIENDSHIP ON GREEN",104,22,78.85,14.39,35.56,2.470,4.73,0.477,65.38,0.00,-0.641,-100.00
16156S,WRAP PINK FAIRY CAKES,104,95,8.65,159.00,161.42,1.015,1.09,0.019,223.92,144.23,-1.340,-35.59
16161C,UNKNOWN,104,1,99.04,8.81,89.82,10.198,104.00,-0.010,70.46,0.00,-0.484,-100.00
16161E,WRAP BOUDOIR,104,6,94.23,7.21,52.33,7.257,17.33,0.033,57.69,0.00,-0.386,-100.00
16161G,WRAP BAD HAIR DAY,104,28,73.08,9.38,18.16,1.938,3.71,0.133,5.77,26.92,0.196,366.67
16161M,WRAP PINK FLOCK,104,30,71.15,9.60,16.80,1.751,3.47,0.258,21.15,0.00,-0.283,-100.00
16161P,WRAP ENGLISH ROSE,104,87,16.35,124.79,102.01,0.817,1.20,0.329,94.23,153.85,0.789,63.27
16161U,WRAP SUKI AND FRIENDS,104,96,7.69,94.96,100.30,1.056,1.08,-0.046,126.92,111.54,-0.314,-12.12
16162L,THE KING GIFT BAG,104,26,75.00,79.37,525.39,6.620,4.00,-0.021,42.38,0.62,-1.345,-98.55
16162M,THE KING GIFT BAG 25x24x12cm,104,12,88.46,2.52,14.58,5.789,8.67,-0.017,0.00,0.92,-0.031,
16168M,FUNKY MONKEY GIFT BAG MEDIUM,104,64,38.46,16.39,60.34,3.680,1.62,0.002,64.69,7.92,-0.477,-87.75
16168S,UNKNOWN,104,6,94.23,12.62,78.18,6.197,17.33,0.400,100.92,0.00,-0.682,-100.00
16169A,WRAP CHRISTMAS DECOUPAGE,104,1,99.04,0.24,2.45,10.198,104.00,-0.010,0.00,0.00,-0.008,
16169C,WRAP BLUE REINDEER,104,11,89.42,12.02,44.61,3.712,9.45,0.534,19.23,0.00,-0.212,-100.00
16169D,WRAP WINTER FOREST,104,1,99.04,1.44,14.71,10.198,104.00,,11.54,0.00,-0.082,-100.00
16169E,WRAP 50'S CHRISTMAS,104,20,80.77,41.47,109.06,2.630,5.20,0.793,0.00,297.15,2.066,
16169F,WRAP BLIZZARD,104,10,90.38,8.65,36.83,4.256,10.40,0.576,15.38,0.00,-0.178,-100.00
16169G,WRAP ROMANTIC DECOUPAGE,104,1,99.04,0.24,2.45,10.198,104.00,,1.92,0.00,-0.014,-100.00
16169K,WRAP FOLK ART,104,33,68.27,19.71,63.35,3.214,3.15,0.274,7.69,1.92,-0.290,-75.00
16169M,WRAP DAISY CARPET,104,42,59.62,19.57,62.04,3.170,2.48,0.359,9.62,13.46,-0.119,40.00
16169N,WRAP BLUE RUSSIAN FOLKART,104,28,73.08,18.99,71.77,3.780,3.71,0.249,30.77,0.00,-0.464,-100.00
16169P,WRAP GREEN RUSSIAN FOLKART,104,30,71.15,16.59,59.79,3.605,3.47,0.331,21.15,0.00,-0.398,-100.00
16192,PINK BALLET OPENING CUBE BOX,104,1,99.04,0.03,0.29,10.198,104.00,-0.010,0.23,0.00,-0.002,-100.00
16195,UNKNOWN,104,1,99.04,0.01,0.10,10.198,104.00,-0.010,0.08,0.00,-0.001,-100.00
16201A,PASTEL PINK PHOTO ALBUM,104,6,94.23,0.74,4.07,5.497,17.33,-0.027,0.92,0.00,-0.026,-100.00
16201B,PASTEL BLUE PHOTO ALBUM,104,1,99.04,0.05,0.49,10.198,104.00,,0.38,0.00,-0.003,-100.00
16202A,PASTEL PINK PHOTO ALBUM,104,17,83.65,6.36,41.51,6.531,6.12,-0.018,0.15,0.00,-0.096,-100.00
16202B,PASTEL BLUE PHOTO ALBUM,104,20,80.77,10.17,61.34,6.030,5.20,-0.027,0.92,0.00,-0.156,-100.00
16202C,BEIGE PHOTO ALBUM,104,8,92.31,0.82,4.33,5.298,13.00,-0.034,4.23,0.00,-0.036,-100.00
16202E,BLACK PHOTO ALBUM,104,11,89.42,0.79,3.28,4.162,9.45,-0.005,2.15,0.00,-0.020,-100.00
16206B,RED PURSE WITH PINK HEART,104,13,87.50,1.85,10.58,5.728,8.00,-0.003,7.77,0.00,-0.056,-100.00
16207A,UNKNOWN,104,40,61.54,2.62,11.95,4.552,2.60,0.023,1.69,0.77,-0.048,-54.55
16207B,PINK HEART RED HANDBAG,104,22,78.85,2.63,13.35,5.066,4.73,0.448,18.38,0.00,-0.118,-100.00
16212,UNKNOWN,104,28,73.08,4.04,11.19,2.770,3.71,0.007,6.46,0.00,-0.128,-100.00
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,104,0,100.00,0.00,0.00,0.000,0.00,,0.00,0.00,0.000,
16216,LETTER SHAPE PENCIL SHARPENER,104,51,50.96,38.88,164.58,4.234,2.04,-0.017,10.00,58.46,0.880,484.62
16218,CARTOON PENCIL SHARPENERS,104,51,50.96,43.55,90.08,2.069,2.04,0.159,2.77,127.38,1.262,4500.00
16219,HOUSE SHAPE PENCIL SHARPENER,104,59,43.27,32.18,84.91,2.638,1.76,0.284,4.92,99.15,1.100,1914.06
16225,RATTLE SNAKE EGGS,104,59,43.27,13.54,43.52,3.215,1.76,0.077,35.31,19.31,-0.128,-45.32
16235,RECYCLED PENCIL WITH RABBIT ERASER,104,91,12.50,54.83,83.19,1.517,1.14,0.026,53.31,39.38,0.034,-26.12
16236,KITTY PENCIL ERASERS,104,88,15.38,25.39,29.25,1.152,1.18,0.151,20.00,41.23,0.182,106.15
16237,SLEEPING CAT ERASERS,104,101,2.88,94.46,87.06,0.922,1.03,0.207,60.46,120.62,0.228,99.49
16238,PARTY TIME PENCIL ERASERS,104,84,19.23,22.79,26.46,1.161,1.24,0.111,8.46,31.38,0.212,270.91
16239,BALLERINA HEART DECORATION.,104,8,92.31,3.31,28.91,8.739,13.00,0.035,26.46,0.00,-0.163,-100.00
16243B,BROWN COZY SQUARE PHOTO ALBUM,104,4,96.15,2.02,20.10,9.954,26.00,-0.010,0.38,0.00,-0.087,-100.00
16244A,UNKNOWN,104,11,89.42,1.76,10.51,5.974,9.45,0.116,5.92,0.00,-0.079,-100.00
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,104,14,86.54,3.28,25.00,7.625,7.43,0.003,6.08,0.00,-0.140,-100.00
16245A,PINK MINI STATIONERY SET W CASE,104,6,94.23,0.11,0.52,4.915,17.33,-0.042,0.00,0.00,-0.003,
16248B,BLUE HOLE PUNCH,104,10,90.38,1.21,9.01,7.440,10.40,-0.011,0.00,0.69,-0.003,
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,104,25,75.96,9.72,85.57,8.803,4.16,0.082,73.38,1.77,-0.448,-97.59
16256B,UNKNOWN,104,21,79.81,5.34,15.79,2.958,4.95,0.127,14.46,0.00,-0.218,-100.00
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,104,10,90.38,1.62,6.61,4.068,10.40,0.087,4.85,0.00,-0.071,-100.00
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,104,51,50.96,8.80,24.60,2.796,2.04,-0.041,21.92,10.38,-0.098,-52.63
16258B,DAISY ERASERS IN BAG,104,3,97.12,8.99,60.82,6.765,34.67,0.504,71.92,0.00,-0.499,-100.00
16259,PIECE OF CAMO STATIONERY SET,104,37,64.42,52.62,96.16,1.827,2.81,0.466,35.54,28.31,0.520,-20.35
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,104,16,84.62,17.53,81.08,4.625,6.50,-0.037,40.08,0.00,-0.529,-100.00
17003,BROCADE RING PURSE,104,96,7.69,672.30,1405.78,2.091,1.08,0.053,281.38,426.23,-1.795,51.48
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,104,6,94.23,0.33,1.74,5.314,17.33,-0.036,0.23,0.00,0.001,-100.00
17011A,ORIGAMI VANILLA INCENSE+FLOWER,104,10,90.38,2.51,19.55,7.790,10.40,-0.007,0.62,0.00,-0.050,-100.00
17011B,ORIGAMI JASMINE INCENSE+FLOWER,104,2,98.08,0.18,1.59,8.722,52.00,-0.013,0.00,0.00,-0.004,
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,104,1,99.04,3.22,32.85,10.198,104.00,-0.010,25.77,0.00,-0.180,-100.00
17011D,ORIGAMI ROSE INCENSE+FLOWER,104,3,97.12,2.01,18.97,9.438,34.67,-0.011,14.85,0.00,-0.107,-100.00
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,104,1,99.04,1.19,12.16,10.198,104.00,-0.010,9.54,0.00,-0.067,-100.00
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,104,19,81.73,3.70,19.80,5.347,5.47,-0.010,14.77,0.00,-0.112,-100.00
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,104,52,50.00,7.54,23.13,3.069,2.00,0.067,2.00,12.77,0.012,538.46
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,104,58,44.23,6.93,16.12,2.325,1.79,0.047,2.15,14.00,0.128,550.00
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,104,59,43.27,8.13,28.33,3.482,1.76,0.005,29.77,14.31,-0.061,-51.94
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,104,49,52.88,4.61,11.01,2.389,2.12,0.474,0.00,23.31,0.177,
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,104,17,83.65,2.53,19.03,7.527,6.12,-0.002,15.08,0.00,-0.107,-100.00
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,104,48,53.85,5.65,14.40,2.547,2.17,0.362,1.85,22.69,0.170,1129.17
17013B,ORIGAMI JASMINE INCENSE IN TUBE,104,2,98.08,2.46,17.67,7.178,52.00,0.720,19.69,0.00,-0.139,-100.00
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,104,2,98.08,2.05,14.77,7.211,52.00,-0.020,16.38,0.00,-0.103,-100.00
17013D,ORIGAMI ROSE INCENSE IN TUBE,104,27,74.04,10.27,33.85,3.297,3.85,0.004,22.62,0.00,-0.127,-100.00
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,104,5,95.19,0.60,5.50,9.219,20.80,-0.012,0.15,0.00,-0.012,-100.00
17014A,ORIGAMI VANILLA INCENSE CONES,104,16,84.62,4.61,22.76,4.941,6.50,-0.040,7.15,0.00,-0.089,-100.00
17014C,ORIGAMI LAVENDER INCENSE CONES,104,1,99.04,0.01,0.10,10.198,104.00,,0.08,0.00,-0.001,-100.00
17014D,ORIGAMI ROSE INCENSE CONES,104,7,93.27,4.61,27.81,6.038,14.86,-0.028,29.69,0.00,-0.193,-100.00
17014E,ORIGAMI OPIUM INCENSE CONES,104,6,94.23,1.84,12.84,6.992,17.33,-0.015,0.00,0.00,-0.047,
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,104,5,95.19,0.66,5.64,8.497,20.80,-0.014,0.08,0.00,-0.013,-100.00
17021,NAMASTE SWAGAT INCENSE,104,53,49.04,35.42,104.06,2.938,1.96,-0.022,54.92,24.92,-0.028,-54.62
17027A,INCENSE BAZAAR CANNABIS,104,2,98.08,2.19,16.28,7.425,52.00,-0.018,11.08,0.00,-0.101,-100.00
17028J,INCENSE BAZAAR PEACH,104,1,99.04,0.06,0.59,10.198,104.00,-0.010,0.00,0.00,0.001,
17033,UNKNOWN,104,25,75.96,30.87,89.51,2.900,4.16,0.368,80.15,0.00,-1.245,-100.00
17038,PORCELAIN BUDAH INCENSE HOLDER,104,44,57.69,24.58,48.78,1.985,2.36,-0.113,7.69,39.15,0.178,409.00
17039,INLAID WOOD INCENSE HOLDER,104,27,74.04,35.63,135.77,3.810,3.85,0.108,50.38,0.00,-1.163,-100.00
17061,ASSORTED SHAPED STENCIL FOR HENNA,104,1,99.04,0.50,5.10,10.198,104.00,,4.00,0.00,-0.029,-100.00
17084A,TRANQUILITY MASALA INCENSE,104,17,83.65,4.25,10.06,2.366,6.12,-0.122,4.23,1.92,-0.018,-54.55
17084G,MOON INCENSE,104,1,99.04,0.24,2.45,10.198,104.00,,1.92,0.00,-0.014,-100.00
17084J,LOVE POTION MASALA INCENSE,104,18,82.69,4.37,10.69,2.449,5.78,-0.113,2.23,1.92,-0.014,-13.79
17084N,FAIRY DREAMS INCENSE,104,80,23.08,25.85,41.52,1.606,1.30,0.093,12.46,37.54,0.048,201.23
17084P,DRAGONS BLOOD INCENSE,104,45,56.73,9.26,23.64,2.553,2.31,0.023,5.92,9.08,-0.040,53.25
17084R,ASSORTED INCENSE PACK,104,45,56.73,100.78,318.18,3.157,2.31,0.043,271.77,66.46,-1.484,-75.54
17090A,LAVENDER INCENSE 40 CONES IN TIN,104,24,76.92,1.66,5.75,3.455,4.33,-0.002,0.69,1.15,-0.003,66.67
17090D,VANILLA INCENSE 40 CONES IN TIN,104,25,75.96,0.85,2.08,2.452,4.16,0.081,0.92,0.00,-0.010,-100.00
17091A,LAVENDER INCENSE IN TIN,104,58,44.23,21.65,44.46,2.053,1.79,0.208,41.62,0.00,-0.526,-100.00
17091B,JASMINE TEA INCENSE IN TIN,104,29,72.12,2.64,7.67,2.902,3.59,0.118,9.62,0.00,-0.094,-100.00
17091F,SANDALWOOD INCENSE IN TIN,104,3,97.12,0.16,0.96,5.851,34.67,0.375,1.31,0.00,-0.009,-100.00
17091J,VANILLA INCENSE IN TIN,104,79,24.04,36.03,52.08,1.445,1.32,0.044,46.69,35.38,-0.045,-24.22
17096,ASSORTED LAQUERED INCENSE HOLDERS,104,52,50.00,59.99,221.22,3.688,2.00,-0.022,90.54,0.00,-0.918,-100.00
17107D,FLOWER FAIRY 5 DRAWER LINERS,104,49,52.88,2.91,4.25,1.459,2.12,0.089,2.23,4.31,0.010,93.10
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,104,11,89.42,3.18,10.75,3.377,9.45,0.419,22.69,0.00,-0.156,-100.00
17109A,UNKNOWN,104,8,92.31,7.37,41.12,5.583,13.00,-0.015,30.85,0.00,-0.333,-100.00
17109B,FLOWER FAIRY INCENSE LAVENDER,104,10,90.38,44.27,382.29,8.636,10.40,0.025,354.15,0.00,-2.242,-100.00
17109C,FLOWER FAIRY INCENSE ROSE,104,8,92.31,29.96,248.71,8.301,13.00,0.043,239.69,0.00,-1.527,-100.00
17109D,Adjustment,104,28,73.08,12.16,49.05,4.033,3.71,-0.057,47.46,0.00,-0.489,-100.00
17129C,wrong invc,104,11,89.42,1.96,14.65,7.466,9.45,-0.018,4.54,0.00,-0.078,-100.00
17129D,CLEAR COLOUR GLASS GEMS IN BAG,104,11,89.42,20.49,142.72,6.965,9.45,0.098,163.92,0.00,-1.048,-100.00
17129F,BLUE GLASS GEMS IN BAG,104,79,24.04,15.16,21.48,1.416,1.32,0.142,15.69,4.08,-0.105,-74.02
17136A,check,104,28,73.08,6.94,16.25,2.341,3.71,-0.078,9.62,14.92,0.030,55.20
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,104,43,58.65,32.97,179.98,5.459,2.42,0.017,166.62,0.00,-1.359,-100.00
17164D,ASS COL SMALL SAND FROG P'WEIGHT,104,11,89.42,15.43,84.06,5.447,9.45,0.091,109.00,0.00,-0.801,-100.00
17165B,UNKNOWN,104,30,71.15,4.73,12.37,2.614,3.47,0.110,5.92,0.00,-0.142,-100.00
17165D,UNKNOWN,104,43,58.65,6.56,14.17,2.160,2.42,0.105,5.00,0.00,-0.131,-100.00
17174,ASSTD RASTA KEY-CHAINS,104,6,94.23,0.35,2.42,6.993,17.33,0.004,1.85,0.62,-0.007,-66.67
17178,FLAT PALM T-LIGHT HOLDER,104,16,84.62,1.28,4.50,3.520,6.50,-0.041,2.85,0.00,-0.043,-100.00
17181,CIRCLE OF FRIENDS CANDLE HOLDER,104,26,75.00,3.30,10.97,3.328,4.00,0.178,8.62,0.00,-0.124,-100.00
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,104,10,90.38,0.32,1.19,3.759,10.40,-0.037,0.38,0.31,-0.005,-20.00
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,104,42,59.62,109.48,480.29,4.387,2.48,0.026,98.08,0.00,0.157,-100.00
18010,ASSORTED FRAGRANCE BATH CONFETTI,104,4,96.15,0.48,2.89,6.017,26.00,0.738,3.85,0.00,-0.027,-100.00
18094C,WHITE AND BLUE CERAMIC OIL BURNER,104,59,43.27,4.09,5.67,1.388,1.76,0.171,2.31,1.00,-0.010,-56.67
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,104,8,92.31,1.09,6.62,6.089,13.00,0.140,8.69,0.00,-0.056,-100.00
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,104,10,90.38,0.16,0.59,3.628,10.40,0.226,0.08,0.00,-0.000,-100.00
18097B,UNKNOWN,104,3,97.12,0.12,0.71,6.194,34.67,-0.022,0.92,0.00,-0.006,-100.00
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,104,78,25.00,16.76,38.24,2.281,1.33,-0.023,32.92,3.31,-0.161,-89.95
18098A,PINK PORCELAIN B'FLY OIL BURNER,104,1,99.04,0.02,0.20,10.198,104.00,-0.010,0.15,0.00,-0.001,-100.00
18098B,BLUE PORCELAIN B'FLY OIL BURNER,104,3,97.12,0.03,0.17,5.830,34.67,0.394,0.23,0.00,-0.002,-100.00
18098C,PORCELAIN BUTTERFLY OIL BURNER,104,67,35.58,14.57,21.41,1.470,1.55,0.540,34.00,0.00,-0.348,-100.00
20615,BLUE POLKADOT PASSPORT COVER,104,78,25.00,6.08,13.55,2.229,1.33,0.119,17.62,8.08,-0.041,-54.15
20616,CHERRY BLOSSOM PASSPORT COVER,104,61,41.35,2.69,5.79,2.150,1.70,0.065,3.77,2.62,0.014,-30.61
20617,FIRST CLASS PASSPORT COVER,104,64,38.46,4.76,19.84,4.168,1.62,0.015,5.00,1.38,-0.038,-72.31
20618,QUEEN OF THE SKIES PASSPORT COVER,104,72,30.77,2.83,4.08,1.443,1.44,0.183,5.77,1.23,-0.014,-78.67
20619,TROPICAL PASSPORT COVER,104,81,22.12,5.55,11.95,2.153,1.28,0.067,15.00,1.31,-0.080,-91.28
20620,RED SPOTTY PASSPORT COVER,104,6,94.23,0.12,0.55,4.725,17.33,0.388,0.92,0.00,-0.006,-100.00
20621,UNKNOWN,104,20,80.77,3.52,19.03,5.408,5.20,0.129,17.62,0.00,-0.148,-100.00
20622,VIP PASSPORT COVER,104,66,36.54,5.39,20.57,3.814,1.58,0.067,3.92,1.69,-0.018,-56.86
20652,BLUE POLKADOT LUGGAGE TAG,104,74,28.85,14.40,62.44,4.335,1.41,0.002,78.92,5.15,-0.471,-93.47
20653,CHERRY BLOSSOM LUGGAGE TAG,104,44,57.69,19.22,176.37,9.176,2.36,-0.011,142.77,1.15,-0.821,-99.19
20654,FIRST CLASS LUGGAGE TAG,104,63,39.42,3.77,5.73,1.521,1.65,-0.028,3.77,2.23,-0.021,-40.82
20655,QUEEN OF SKIES LUGGAGE TAG,104,81,22.12,3.88,4.72,1.214,1.28,0.249,6.46,1.85,-0.020,-71.43
20657,TROPICAL LUGGAGE TAG,104,61,41.35,18.05,122.30,6.776,1.70,-0.012,130.54,1.23,-0.794,-99.06
20658,RED RETROSPOT LUGGAGE TAG,104,86,17.31,14.71,13.84,0.941,1.21,0.297,22.31,0.62,-0.248,-97.24
20659,ECONOMY LUGGAGE TAG,104,66,36.54,3.25,4.25,1.307,1.58,0.073,3.31,3.15,-0.005,-4.65
20660,VIP LUGGAGE TAG,104,11,89.42,0.61,2.81,4.637,9.45,0.006,3.77,0.00,-0.029,-100.00
20661,BLUE POLKADOT PURSE,104,57,45.19,8.62,41.45,4.806,1.82,0.003,5.54,1.08,-0.138,-80.56
20662,FIRST CLASS HOLIDAY PURSE,104,32,69.23,6.99,41.57,5.947,3.25,-0.019,4.15,0.23,-0.114,-94.44
20663,QUEEN OF THE SKIES HOLIDAY PURSE,104,30,71.15,10.33,68.93,6.674,3.47,-0.022,2.31,0.08,-0.153,-96.67
20664,TROPICAL HOLIDAY PURSE,104,25,75.96,0.63,1.59,2.504,4.16,0.137,0.31,0.00,0.005,-100.00
