series,description,week_start,demand_units,trend_13_week_centered_ma,seasonal_component,residual
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-02-08,240,642.92,-550.39,147.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-02-15,1008,657.69,-109.46,459.77
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-02-22,576,739.00,-440.66,277.66
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-03-01,1008,786.92,379.84,-158.77
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-03-08,528,808.85,-185.23,-95.61
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-03-15,2592,823.62,400.08,1368.31
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-03-22,387,797.77,-759.66,348.89
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-03-29,192,919.62,547.77,-1275.38
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-04-05,1393,882.69,-267.73,778.04
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-04-12,1007,883.92,554.38,-431.31
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-04-19,576,832.38,113.19,-369.58
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-04-26,624,961.62,432.77,-770.38
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-05-03,240,840.54,-523.31,-77.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-05-10,1824,853.77,398.00,572.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-05-17,528,957.77,-309.50,-120.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-05-24,592,865.46,-474.92,201.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-05-31,338,851.31,-108.66,-404.65
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-06-07,2208,888.31,371.54,948.16
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-06-14,1018,904.77,-331.16,444.39
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-06-21,559,1116.00,-226.77,-330.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-06-28,1544,1038.54,-4.73,510.19
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-07-05,193,1060.69,-263.85,-603.84
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-07-12,823,1034.08,43.50,-254.58
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-07-19,1057,1155.77,-44.92,-53.84
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-07-26,838,1052.46,-52.42,-162.04
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-08-02,2986,997.77,642.15,1346.08
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-08-09,817,1025.31,-202.23,-6.08
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-08-16,816,965.77,-225.04,75.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-08-23,246,1224.15,-366.92,-611.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-08-30,1920,1216.23,105.42,598.35
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-09-06,865,1171.92,-338.50,31.58
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-09-13,307,1163.62,-354.62,-502.00
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-09-20,917,1341.69,-526.85,102.16
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-09-27,770,1475.46,-479.42,-226.04
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-10-04,3552,1476.23,829.00,1246.77
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-10-11,720,1505.69,-677.81,-107.88
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-10-18,481,1639.08,-756.85,-401.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-10-25,730,1612.00,1533.04,-2415.04
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-11-01,5301,1678.62,3578.77,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-11-08,2556,1615.77,896.61,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-11-15,826,1556.54,-774.16,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-11-22,629,1331.38,-746.00,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-11-29,3654,1298.23,2312.15,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-12-06,513,1261.23,-791.85,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-12-13,1173,1245.85,-116.46,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-12-20,100,1056.31,-999.92,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-12-27,0,863.38,-907.00,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-01-03,625,832.46,-251.08,43.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-01-10,289,803.85,-360.81,-154.04
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-01-17,0,652.00,-486.54,-165.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-01-24,530,704.85,-151.46,-23.38
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-01-31,2837,651.54,1028.69,1156.77
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-02-07,48,658.62,-550.39,-60.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-02-14,424,906.00,-109.46,-372.54
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-02-21,257,888.08,-440.66,-190.42
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-02-28,1680,1054.15,379.84,246.00
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-03-07,1200,1202.38,-185.23,182.85
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-03-14,480,1361.00,400.08,-1281.08
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-03-21,192,1213.31,-759.66,-261.65
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-03-28,3216,1305.62,547.77,1362.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-04-04,392,1350.54,-267.73,-690.81
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-04-11,2448,1375.08,554.38,518.54
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-04-18,1927,1357.00,113.19,456.81
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-04-25,2592,1301.62,432.77,857.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-05-02,917,1275.85,-523.31,164.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-05-09,1248,1335.00,398.00,-485.00
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-05-16,1008,1110.00,-309.50,207.50
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-05-23,576,1165.15,-474.92,-114.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-05-30,1445,1061.77,-108.66,491.89
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-06-06,480,969.38,371.54,-860.92
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-06-13,145,833.31,-331.16,-357.15
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-06-20,961,770.31,-226.77,417.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-06-27,291,718.69,-4.73,-422.96
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-07-04,1109,681.77,-263.85,691.08
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-07-11,1104,718.69,43.50,341.81
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-07-18,726,629.85,-44.92,141.08
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-07-25,823,626.15,-52.42,249.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-01,98,714.69,642.15,-1258.84
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-08,577,685.92,-202.23,93.31
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-15,528,741.08,-225.04,11.96
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-22,1056,724.46,-366.92,698.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-29,290,695.69,105.42,-511.11
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-09-05,432,714.85,-338.50,55.66
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-09-12,1296,1061.38,-354.62,589.23
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-09-19,587,1128.77,-526.85,-14.92
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-09-26,1008,1174.15,-479.42,313.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-10-03,893,1223.54,829.00,-1159.54
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-10-10,730,1212.69,-677.81,195.12
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-10-17,975,1243.38,-756.85,488.46
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-10-24,5328,1292.69,1533.04,2502.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-10-31,974,,3578.77,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-11-07,1167,,896.61,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-11-14,1170,,-774.16,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-11-21,915,,-746.00,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-11-28,689,,2312.15,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-12-05,1073,,-791.85,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2009-11-30,1817,,-166.09,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2009-12-07,3171,,311.75,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2009-12-14,1291,,-958.71,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2009-12-21,127,,-1072.56,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2009-12-28,0,,,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-01-04,1773,,-59.33,
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-01-11,919,1138.54,1113.29,-1332.83
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-01-18,1410,1063.23,110.75,236.02
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-01-25,1382,884.54,154.29,343.17
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-02-01,727,899.85,-117.94,-54.91
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-02-08,586,981.15,-270.98,-124.17
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-02-15,669,1050.38,-362.48,-18.91
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-02-22,929,983.62,-158.06,103.44
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-03-01,838,978.15,-101.56,-38.60
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-03-08,848,923.15,-99.86,24.71
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-03-15,1490,903.00,243.21,343.79
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-03-22,1184,928.08,6.29,249.63
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-03-29,900,968.00,-61.59,-6.41
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-04-05,905,1012.92,-202.06,94.13
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-04-12,848,1014.85,-205.56,38.71
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-04-19,695,992.31,693.64,-990.94
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-04-26,1120,1049.38,-297.29,367.90
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-05-03,1053,979.85,91.33,-18.17
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-05-10,1105,949.08,11.67,144.25
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-05-17,1253,972.85,37.21,242.94
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-05-24,954,958.38,15.17,-19.56
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-05-31,545,990.31,-431.63,-13.67
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-06-07,1590,1026.69,2018.41,-1455.10
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-06-14,586,986.23,-478.44,78.21
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-06-21,784,947.08,-410.33,247.25
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-06-28,1209,956.62,-175.13,427.52
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-07-05,717,989.92,-416.17,143.25
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-07-12,1263,1002.54,327.14,-66.67
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-07-19,1168,1028.15,39.79,100.06
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-07-26,594,976.00,-42.56,-339.44
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-08-02,544,1011.54,-265.29,-202.25
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-08-09,1229,1034.92,65.29,128.79
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-08-16,1686,1012.08,209.64,464.29
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-08-23,1118,1034.15,157.98,-74.14
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-08-30,878,1013.92,-122.09,-13.83
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-09-06,912,985.54,-45.48,-28.06
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-09-13,1048,1052.54,108.83,-113.37
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-09-20,1088,1115.46,72.25,-99.71
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-09-27,912,1145.85,-188.44,-45.41
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-10-04,1004,1084.46,-271.83,191.36
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-10-11,1000,1164.00,-58.48,-105.52
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-10-18,799,1223.31,-425.98,1.67
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-10-25,1465,1239.46,-3.17,228.71
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-11-01,1362,1276.46,101.29,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-11-08,1624,1208.08,431.67,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-11-15,888,1137.92,-234.17,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-11-22,2152,1135.54,1032.21,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-11-29,1649,1314.62,350.14,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-12-06,1122,1303.85,-166.09,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-12-13,1529,1233.00,311.75,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-12-20,199,1173.46,-958.71,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2010-12-27,0,1088.31,-1072.56,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-01-03,973,1048.08,-59.33,-15.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-01-10,3328,913.38,1113.29,1301.33
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-01-17,659,815.77,110.75,-267.52
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-01-24,544,764.38,154.29,-374.67
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-01-31,588,682.54,-117.94,23.40
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-02-07,517,695.31,-270.98,92.67
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-02-14,365,740.08,-362.48,-12.60
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-02-21,401,694.00,-158.06,-134.94
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-02-28,380,474.46,-101.56,7.09
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-03-07,454,610.08,-99.86,-56.21
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-03-14,465,597.08,243.21,-375.29
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-03-21,365,639.85,6.29,-281.14
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-03-28,582,668.69,-61.59,-25.10
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-04-04,374,701.69,-202.06,-125.64
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-04-11,474,749.77,-205.56,-70.21
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-04-18,2422,768.92,693.64,959.44
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-04-25,375,1071.69,-297.29,-399.41
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-05-02,1144,1066.00,91.33,-13.33
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-05-09,892,1056.08,11.67,-175.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-05-16,794,1031.23,37.21,-274.44
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-05-23,1026,1022.77,15.17,-11.94
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-05-30,629,1078.46,-431.63,-17.83
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-06-06,4390,948.00,2018.41,1423.59
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-06-13,391,979.15,-478.44,-109.71
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-06-20,236,925.08,-410.33,-278.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-06-27,259,893.15,-175.13,-459.02
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-07-04,264,854.92,-416.17,-174.75
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-07-11,1198,835.69,327.14,35.17
85123A,CREAM HANGING HEART T-LIGHT HOLDER,2011-07-18,726,817.77,39.79,-131.56
